#####################################################################################################
# NeXus source file: noemi5saxs
# NXdata: name = img{0}_azimuthalIntegration_Px_22                 
#
#
# Exposure_msec                                     1000.0 + 0.0
# _diffrn_source.source                             Storage Ring SOLEIL, beamline SWING
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# _diffrn_detector.detector                         EIGER-4M
# _diffrn_comment.comment                           -
# _sas_detc.pixnum_ax                               [1035]
# _sas_detc.pixnum_eq                               [1083]
# _sas_detc.pixsize                                 150.0
# _sas_detc.center_ax                               285.110346632731
# _sas_detc.center_eq                               957.0166664324403
# _sas_detc.dist_spec/detc                          6137.21860334
# _sas_detc.energy                                  12.000513668149837
# _sas_detc.gain                                    1.0
# _sas_detc.detector_based_uncertainty              0.0
# _sas_detc.encoder_delta                           0.0
# _sas_detc.delta0                                  0.0
# _sas_detc.gamma_offset                            0.0
# _sas_detc.wave_length                             1.0331573224991384
# _sas_detc.bias                                    0
# _sas_detc.mask                                    E:\20251487\published-data\3120\2026-09-03_session3\\mask_bags_saxs_12kev_sept26.txt
# Normalization                                     true
# Normalization Factor                              0.02571
# Normalization Monitor                             averagemi8b
# Normalization Intensity                           1.3550127803547397e-06
# GlobalNormalization                               31.483329301987705
# AbsTimeStamps                                     nan
# TimeStamps                                        1.3956758975982666
# gapTime                                           500.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
#####################################################################################################
q(A-1)                             I(q)ctac1mm_00191{00000}_AzInt_Px_22         Sig(q)ctac1mm_00191{00000}_AzInt_Px_22       
0.01605298120533514                0.08049506621891789                          0.0019505717856589623                        
0.016201619132635157               0.08102261769907851                          0.0019761614072945975                        
0.01635025703815934                0.07741697794168603                          0.0018932940828684226                        
0.016498894921707925               0.07408227237083716                          0.0018810848961720577                        
0.016647532783081127               0.07684197381510034                          0.0018848769442449521                        
0.016796170622079182               0.07728141607186592                          0.0018699549253282243                        
0.016944808438502313               0.07383795815777772                          0.001843645835201123                         
0.01709344623215075                0.0691264390528414                           0.0017597915271803015                        
0.017242084002824728               0.07239273041470763                          0.0018189357904161718                        
0.01739072175032447                0.07203137118832866                          0.0017679404727601448                        
0.017539359474450206               0.07128005384646349                          0.0017720613788758967                        
0.017687997175002166               0.06449167063357886                          0.001682073465581173                         
0.017836634851780577               0.06767325295371575                          0.0017008914398169866                        
0.017985272504585672               0.06868203846204816                          0.0017322752705005342                        
0.01813391013321768                0.06469062904627627                          0.0016399725463254278                        
0.018282547737476833               0.06505730437189214                          0.0016632224907342744                        
0.018431185317163357               0.06314942176881559                          0.0016267197973513234                        
0.018579822872077482               0.0627859777452988                           0.0016072572555770129                        
0.01872846040201944                0.0624844839882617                           0.0016138804890722944                        
0.018877097906789472               0.06449166844846034                          0.001645002941476574                         
0.019025735386187796               0.06299942387484612                          0.0016636501450528179                        
0.019174372840014643               0.06301431880049034                          0.0016401972033200818                        
0.01932301026807025                0.05983523191836187                          0.0016026016730525075                        
0.019471647670154846               0.062321044491005964                         0.0016999458557663421                        
0.019620285046068664               0.05883122502125848                          0.0016456689107865949                        
0.019768922395611937               0.06218727182754642                          0.0017247645942725833                        
0.019917559718584898               0.05639044535431277                          0.0016217816197672342                        
0.020066197014787773               0.057601445346626194                         0.001672595933021634                         
0.0202148342840208                 0.05846664102993029                          0.0017114834972041053                        
0.020363471526084212               0.059092410696037455                         0.0016876658886184103                        
0.02051210874077824                0.05856533683738678                          0.001730764194715386                         
0.020660745927903117               0.05554967544698904                          0.0016387832317451571                        
0.020809383087259083               0.05638133782325654                          0.0017148357531434856                        
0.02095802021864636                0.05568842552264948                          0.0016890797963962508                        
0.02110665732186519                0.055269356046311474                         0.001673293134948714                         
0.021255294396715804               0.053493556187637334                         0.0016676072817838191                        
0.021403931442998434               0.054757505077218264                         0.0016708655754464222                        
0.021552568460513323               0.05559950183289276                          0.0017315760396393789                        
0.021701205449060703               0.052487796408817546                         0.0016532101924228609                        
0.021849842408440803               0.05286943756819874                          0.0016619365307944214                        
0.02199847933845386                0.05313650832931157                          0.0016913536953059598                        
0.02214711623890011                0.05105218333831895                          0.0016358174690981587                        
0.02229575310957979                0.05556022733520758                          0.0016953597700892853                        
0.022444389950293145               0.05142660364793824                          0.0015840450833704302                        
0.022593026760840393               0.04887830375801359                          0.001552670489544568                         
0.02274166354102178                0.052626805613277886                         0.0016111085407688893                        
0.02289030029063754                0.05023393142915918                          0.0015306973022251756                        
0.02303893700948792                0.05180193691417053                          0.0015777442941013282                        
0.02318757369737314                0.051558200402196636                         0.0015405959041625366                        
0.023336210354093452               0.053051363941779964                         0.001596658426373699                         
0.02348484697944908                0.04969088243998945                          0.001511345865549771                         
0.02363348357324028                0.04998703479680962                          0.0015224673753103763                        
0.023782120135267273               0.05091445259289905                          0.0015365259832815193                        
0.023930756665330306               0.0482968143336719                           0.001473039027500843                         
0.02407939316322961                0.04639155685942132                          0.0014677639042842145                        
0.024228029628765434               0.048134751742430995                         0.0014633395343199593                        
0.024376666061738005               0.05061481291312163                          0.0015090421645623216                        
0.024525302461947576               0.04906465001481351                          0.00148680757620647                          
0.024673938829194372               0.050463532082202014                         0.0014848639129596685                        
0.024822575163278647               0.04807714756275848                          0.001478072915727514                         
0.02497121146400064                0.049395883161827796                         0.0014521921179956399                        
0.02511984773116057                0.0460550588841574                           0.00143641782098483                          
0.025268483964558705               0.048347455537023035                         0.001456407227292559                         
0.025417120163995274               0.048306365625718814                         0.0014351239401919056                        
0.02556575632927051                0.04375163022150116                          0.0013835480284540083                        
